bbl,address,bldgclass,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,lat,lon
1002370036,191 HESTER STREET,C7,21.879616658215383,27086.965422870646,74.21086417224835,80.51698930223262,109.39808329107692,40.718263537102004,-73.99772886481477
1002360033,197 HESTER STREET,C7,56.77708973566909,70290.03709275833,192.57544408974886,208.93969022726225,283.8854486783454,40.718453063833614,-73.998154210434
1002370011,146 MULBERRY STREET,C7,34.17204610569885,42304.99307885517,115.90409062700047,125.75312966897175,170.86023052849424,40.71888037713675,-73.99727627188275
1002350016,150 BAXTER STREET,C7,34.306164885304064,42471.03212800643,116.35899213152447,126.24668677791895,171.53082442652033,40.71924829575125,-73.99847678448401
1004730044,178 LAFAYETTE STREET,C7,26.885601039001923,33284.37408628438,91.19006598982021,98.93901182352708,134.4280051950096,40.720634027205925,-73.99892228728443
1004700038,118 ELIZABETH STREET,C7,27.856592679856604,34486.461737662474,94.48345681551362,102.51226106187231,139.282963399283,40.719158196790154,-73.99528975425214
1004700039,120 ELIZABETH STREET,C7,29.56586902682011,36602.545855203294,100.28094754850217,108.802398018698,147.82934513410055,40.719224204446725,-73.9952626591525
1004700021,119 ELIZABETH STREET,C7,50.67801344133112,62739.38064036793,171.8887140831998,186.4950894640985,253.39006720665557,40.71934424203581,-73.99571784082721
1004700042,126 ELIZABETH STREET,C4,29.75825947370131,36840.72522844222,100.93349377655403,109.51039486322082,148.79129736850655,40.71942564787661,-73.99518178535888
1004700004,158 MOTT STREET,C7,24.43457870018255,30250.008430825994,82.87673542692053,89.91924961667178,122.17289350091274,40.71950548110937,-73.99605568496699
1004700007,164 MOTT STREET,C7,25.590492200203435,31681.029343851853,86.79734066808727,94.17301129674864,127.95246100101717,40.71969274025129,-73.99598533074378
