bbl,address,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,roof_area_m2,lat,lon
1004250041,10 DELANCEY STREET,33.96336509405675,42046.64598644225,115.19629037381438,124.98518354612882,169.81682547028373,199.784500553275,40.7203977019168,-73.99324552310041
1004250041,10 DELANCEY STREET,33.96336509405675,42046.64598644225,115.19629037381438,124.98518354612882,169.81682547028373,199.784500553275,40.7203977019168,-73.99324552310041
1004780012,164 ELIZABETH STREET,39.94967665348259,49457.69969701145,135.50054711509986,147.01481008481593,199.74838326741295,234.9980979616623,40.72068460970121,-73.99464658756257
1004780013,166 ELIZABETH STREET,29.029861173095867,35938.968132292684,98.46292638984298,106.82988911699279,145.14930586547933,170.7638892535051,40.720768822650804,-73.9946575678066
1004780014,168 ELIZABETH STREET,19.841165384027708,24563.3627454263,67.29688423404465,73.01548861322196,99.20582692013853,116.71273755310416,40.72084607398904,-73.99469368547874
1004100037,110 LUDLOW STREET,27.364488299132496,33877.23651432603,92.81434661459187,100.70131694080759,136.82244149566247,160.96757823019115,40.71921678971883,-73.98855194809757
1004100043,122 LUDLOW STREET,26.240485269193854,32485.72076326199,89.00197469386846,96.56498579063339,131.20242634596926,154.35579570114032,40.7196046411981,-73.98835366133609
1004100044,124 LUDLOW STREET,25.977035425954128,32159.56985733121,88.10841056803072,95.59549036751119,129.88517712977063,152.80609074090663,40.71966853207734,-73.9883210322942
1004100018,123 LUDLOW STREET,39.863215352101314,49350.66060590142,135.20728933123678,146.6966324957328,199.31607676050655,234.48950207118418,40.71978055377329,-73.9887533796272
1004100046,101 RIVINGTON STREET,49.2394752795817,60958.47039612214,167.0095079345812,181.20126902886065,246.19737639790847,289.6439722328335,40.719861063542474,-73.98830824266044
1004100025,109 LUDLOW STREET,40.56103675786113,50214.56350623208,137.57414659241667,149.26461526892896,202.80518378930563,238.59433386977133,40.71941705231896,-73.98893560062129
1004100002,122 ORCHARD STREET,33.2634662499435,41180.17121743005,112.82238689706863,122.40955579979207,166.31733124971748,195.6674485290794,40.719460222433625,-73.98930372526004
1004100022,117 LUDLOW STREET,22.21845631828538,27506.4489220373,75.3601340329789,81.76391925129019,111.0922815914269,130.69680187226695,40.71960143331942,-73.9888445567187
1004110075,100 RIVINGTON STREET,53.74102082184475,66531.3837774438,182.27776377381863,197.76695662438868,268.7051041092237,316.1236518932044,40.72020349830369,-73.98812421764494
1004110034,94 RIVINGTON STREET,42.57183902880989,52703.93671766664,144.39434717168942,156.6643676260204,212.85919514404944,250.42258252241112,40.7203107925252,-73.98853500211146
1003540034,126 RIVINGTON STREET,24.643058191466498,30508.106041035524,83.58385216722061,90.68645414459671,123.21529095733248,144.95916583215586,40.7198586509443,-73.9869914682942
