healthcenterdistrict,bldgdepth,bct2020,zipcode,numbldgs,zmcode,spdist1,lottype,latitude,proxcode,xcoord,otherarea,splitzone,retailarea,healtharea,pfirm15_flag,yearbuilt,lotfront,sanitboro,cb2010,landuse,assessland,garagearea,cd,zoningdate,ltdheight,appbbl,sanborn,commfar,dcpedited,residfar,builtfar,bldgclass,bbl,yearalter2,irrlotcode,edesigdate,tract2010,council,schooldist,spdist2,easements,longitude,officearea,histdist,yearalter1,strgearea,rpaddate,lotarea,numfloors,version,ycoord,block,unitsres,lotdepth,landmkdate,facilfar,overlay1,spdist3,ownertype,zonedist4,bldgfront,sanitdistrict,exempttot,areasource,assesstot,firecomp,edesignum,lot,zonedist1,address,policeprct,ct2010,ext,borocode,notes,sanitsub,taxmap,polidate,ownername,appdate,zonemap,zonedist2,firm07_flag,condono,comarea,basempdate,plutomapid,zonedist3,overlay2,bctcb2020,factryarea,dcasdate,bldgarea,bsmtcode,unitstotal,resarea,borough,geom,masdate,landmark,geometry
14,86.0000000,1003200,10009,1,,,5,40.7267209,3,988738,0,False,2437,6600,,1920,38.6700000,1,1001,4,652500.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,3.88000000000,C7,1004350027,0,False,,32,2,1,,0,-73.9838078,0,,0,0,,3770,6.0000000,25v4,204041,435,22,97.5000000,,4.00000000000,,,,,39.0000000,3,0.00000,2,2485350.00000,L011,,27,R8B,126 ST MARKS PLACE,9,32,N,1,,4A,10205,,"122-126 ST. MARKS PLACE ASSOCIATES, LLC",,12c,,,,2437,,1,,,10032001001,0,,14623,2,24,12186,MN,,,,
14,80.0000000,1003200,10009,1,,,5,40.7270640,3,988821,0,False,2329,6600,,1910,37.5000000,1,1000,4,315000.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,3.97000000000,C7,1004360037,0,False,,32,2,1,,0,-73.9835082,0,,1989,0,,3522,6.0000000,25v4,204166,436,22,93.9200000,,4.00000000000,,,,,38.0000000,3,0.00000,2,2629350.00000,L011,,37,R8B,119 ST MARKS PLACE,9,32,N,1,,4A,10205,,"AVENUE A SCHNEIDER PARTNERS, LLC",,12c,,,,2329,,1,,,10032001000,0,,13976,2,24,11647,MN,,,,
14,80.0000000,1003200,10009,1,,,5,40.7271134,3,988789,0,False,2329,6600,,1900,37.5000000,1,1000,4,675000.00000,0,103,,,,102 020,0.00000000000,,4.00000000000,3.97000000000,C7,1004360039,0,False,,32,2,1,,0,-73.9836237,0,,1986,0,,3522,6.0000000,25v4,204184,436,22,93.9200000,,4.00000000000,,,,,38.0000000,3,0.00000,2,2486250.00000,L011,,39,R8B,115 ST MARKS PLACE,9,32,N,1,,4A,10205,,"AVENUE A SCHNEIDER PARTNERS, LLC",,12c,,,,2329,,1,,,10032001000,0,,13976,2,24,11647,MN,,,,
14,76.0000000,1003200,10009,1,,,5,40.7250381,2,989326,0,False,1000,6600,,1900,28.0800000,1,7002,4,199800.00000,0,103,,,,102 021,0.00000000000,,4.00000000000,4.01000000000,C7,1004020032,0,False,,32,2,1,,0,-73.9816868,0,,0,0,,2560,6.0000000,25v4,203428,402,16,90.8300000,,4.00000000000,C1-5,,,,28.0000000,3,0.00000,2,1532250.00000,L011,,32,R7A,178 EAST 7 STREET,9,32,N,1,,4A,10203,,MADS LIMITED LIABILITY COMPANY,,12c,,,,1000,,1,,,10032007002,0,,10270,2,18,9270,MN,,,,
14,84.0000000,1003200,10009,1,,,5,40.7244892,2,989177,0,False,0,6600,,1920,23.0000000,1,6000,2,166500.00000,0,103,,,,102 021,0.00000000000,,3.00000000000,4.59000000000,C4,1004010030,0,True,,32,2,1,,0,-73.9822245,0,,1983,0,,2523,6.0000000,25v4,203228,401,13,97.0000000,,3.00000000000,,,,,23.0000000,3,0.00000,2,1444050.00000,E028,,30,R7B,540 EAST 6 STREET,9,32,N,1,,3A,10203,,"ARNAV INDUSTRIES, INC. PROFIT SHARING PL AN AND TRU",,12c,,,,0,,1,,,10032006000,0,,11592,1,13,11592,MN,,,,
14,106.0000000,1003800,10003,1,,,5,40.7282584,3,987724,0,True,2854,6500,,1920,26.6700000,1,7001,4,238050.00000,0,103,,,,102 019,0.00000000000,,4.00000000000,4.70000000000,C7,1004490006,0,False,,38,2,1,,0,-73.9874659,0,,1988,0,,3334,6.0000000,25v4,204601,449,22,125.0000000,,4.00000000000,C1-5,,,,27.0000000,3,0.00000,2,2726550.00000,L011,,6,R7A,128 2 AVENUE,9,38,N,1,,4B,10205,,128 SECOND REALTY LLC,,12c,R8B,,,2854,,1,,,10038007001,0,,15660,2,24,12806,MN,,,,
14,82.0000000,1003800,10003,1,,,5,40.7282253,3,988264,0,False,0,6500,,1900,25.0000000,1,7000,4,186300.00000,0,103,,,,102 019,0.00000000000,,4.00000000000,4.30000000000,C7,1004500028,0,False,,38,2,1,,0,-73.9855176,3350,,0,0,,2348,6.0000000,25v4,204589,450,15,93.9200000,,4.00000000000,,,,,25.0000000,3,0.00000,2,1244250.00000,L011,,28,R8B,348 EAST 9 STREET,9,38,N,1,,4B,10205,,"T/S 348 EAST 9, LLC",,12c,,,,3350,,1,,,10038007000,0,,10100,2,16,6750,MN,,,,
14,78.0000000,1003800,10003,1,,,5,40.7287360,3,987937,0,False,1925,6500,,1910,25.0000000,1,7000,4,170100.00000,0,103,,,,102 019,0.00000000000,,4.00000000000,4.59000000000,C7,1004500011,0,False,,38,2,1,,0,-73.9866973,0,,0,0,,2196,6.0000000,25v4,204775,450,16,87.8300000,,4.00000000000,,,,,25.0000000,3,0.00000,2,1557450.00000,L011,,11,R8B,312 EAST 9 STREET,9,38,N,1,,4B,10205,,HIGHPOINT DEVELOPERS,,12c,,,,1925,,1,,,10038007000,0,,10074,2,18,8149,MN,,,,
14,81.0000000,1003800,10003,1,,,5,40.7286948,3,987956,0,False,2050,6500,,1910,25.0000000,1,7000,4,319500.00000,0,103,,,,102 019,0.00000000000,,4.00000000000,4.43000000000,C7,1004500012,0,False,,38,2,1,,0,-73.9866287,0,,0,0,,2348,6.0000000,25v4,204760,450,16,93.9200000,,4.00000000000,,,,,25.0000000,3,0.00000,2,1501650.00000,L011,,12,R8B,314 EAST 9 STREET,9,38,N,1,,4B,10205,,314 EAST 9TH LLC,,12c,,,,2050,,1,,,10038007000,0,,10410,2,18,8360,MN,,,,
14,78.0000000,1003800,10003,1,,,5,40.7282092,3,987240,0,False,1618,6500,,1900,24.4200000,1,1004,4,468000.00000,0,103,,,,102 018,0.00000000000,,4.00000000000,4.38000000000,C7,1004620015,0,False,,38,2,1,,0,-73.9892121,0,,0,0,,2218,6.0000000,25v4,204583,462,22,90.8300000,,4.00000000000,,,,,24.0000000,3,0.00000,2,1834650.00000,E028,,15,R8B,32 EAST 7 STREET,9,38,N,1,,4B,10205,,"SEVENTH STREET PROPERTIES ASSOCIATES, LL C",,12c,,,,1618,,1,,,10038001003,0,,9708,2,24,8090,MN,,,,
