bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh
1003080024,47 ORCHARD STREET,C7,6.0,1910,163.67654296213738,139.12506151781676,27.825012303563355,34447.36523181143,94.37634310085323,102.39604527711315
1003090024,47 LUDLOW STREET,C7,6.0,1900,150.6582885858367,128.0595452979612,25.61190905959224,31707.54341577519,86.86998196102792,94.25182533929944
1003100024,43 ESSEX STREET,C7,6.0,1910,201.33039935977047,171.1308394558049,34.22616789116098,42371.9958492573,116.0876598609789,125.95229783947241
1004090026,246 BROOME STREET,C7,6.0,1900,189.97732346166524,161.48072494241543,32.296144988483086,39982.62749574206,109.54144519381387,118.84981355761775
1004090027,248 BROOME STREET,C7,6.0,1920,171.59901771254232,145.85916505566098,29.171833011132197,36114.72926778166,98.94446374734702,107.35234548096649
1004090043,101 DELANCEY STREET,C7,6.0,1920,274.2160154468267,233.0836131298027,46.61672262596054,57711.50261093915,158.11370578339492,171.5495392635348
1003530051,106 NORFOLK STREET,C7,6.0,1910,231.1317037384754,196.4619481777041,39.29238963554082,48643.97836879954,133.27117361314941,144.59599385879022
1003530057,131 RIVINGTON STREET,C7,6.0,1920,408.90462620127585,347.56893227108446,69.5137864542169,86058.06763032053,235.7755277543028,255.8107341515182
1003530024,129 RIVINGTON STREET,C7,6.0,1930,242.00891703273163,205.7075794778219,41.14151589556438,50933.19667870871,139.54300459920194,151.40077849567692
1002930020,3 ALLEN STREET,C7,6.0,1910,157.0756719417134,133.5143211504564,26.70286423009128,33058.145916853005,90.57026278589865,98.26654036673591
1002930015,70 CANAL STREET,C7,6.0,1910,167.31071919040082,142.2141113118407,28.44282226236814,35212.21396081176,96.47181907071715,104.66958592551475
1003000004,42 ELDRIDGE STREET,C7,6.0,1930,150.86980278732545,128.23933236922664,25.64786647384533,31752.05869462052,86.99194162909731,94.38414862375082
1003000005,44 ELDRIDGE STREET,C7,6.0,1930,148.21990979421983,125.98692332508685,25.19738466501737,31194.362215291505,85.4640060692918,92.72637556726391
1003000006,46 ELDRIDGE STREET,C7,6.0,1930,146.0656102565185,124.15576871804073,24.831153743608148,30740.968334586887,84.2218310536627,91.37864577647798
1003000007,48 ELDRIDGE STREET,C7,6.0,1910,181.06426307612108,153.90462361470293,30.780924722940586,38106.78480700045,104.4021501561656,113.27380298042135
1003060001,119 HESTER STREET,C7,6.0,1910,239.76074547101896,203.79663365036612,40.75932673007323,50460.04649183065,138.24670271734425,149.99432236666948
1003060035,107 HESTER STREET,C7,6.0,1913,157.87482079198216,134.19359767318483,26.838719534636965,33226.334783880564,91.0310542024125,98.76648788746404
1003060032,73 ELDRIDGE STREET,C7,6.0,1920,182.83849839046124,155.41272363189205,31.082544726378412,38480.190371256474,105.42517909933281,114.38376459307256
1003060031,75 ELDRIDGE STREET,C7,6.0,1910,132.44197038868768,112.57567483038453,22.515134966076907,27873.73708800321,76.36640298083071,82.85569667516302
1003060007,74 FORSYTH STREET,C7,6.0,1900,178.6993085052393,151.8944122294534,30.37888244589068,37609.05646801266,103.03851087126758,111.79428740087769
1003060028,81 ELDRIDGE STREET,C7,6.0,1910,161.05313337511384,136.89516336884677,27.379032673769355,33895.24245012646,92.86367794555196,100.75484023947122
1003060009,78 FORSYTH STREET,C7,6.0,1900,175.06674030017498,148.80672925514872,29.761345851029745,36844.54616357482,100.94396209198581,109.52175273178946
1003060023,289 GRAND STREET,C7,6.0,1900,198.3693145836701,168.61391739611958,33.722783479223914,41748.80594727921,114.38029026651837,124.099843203544
1003100007,48 LUDLOW STREET,C7,6.0,1900,258.2731311206844,219.53216145258173,43.90643229051635,54356.16317565924,148.92099500180615,161.57567082910018
1003090008,58 ORCHARD STREET,C7,6.0,1910,170.44639510724826,144.879435841161,28.975887168232205,35872.14831427147,98.2798583952643,106.63126477909451
1004080020,67 LUDLOW STREET,C4,6.0,1900,159.93775738389374,135.94709377630969,27.18941875526194,33660.50041901428,92.2205490931898,100.05706101936394
1004080014,245 BROOME STREET,C7,6.0,1900,154.27934536397566,131.1374435593793,26.227488711875864,32469.63102530232,88.95789322000635,96.51715845970318
1004090029,250 BROOME STREET,C7,6.0,1890,177.1944027322896,150.61524232244616,30.123048464489234,37292.33399903767,102.17077807955526,110.85281834932037
1004090031,252 BROOME STREET,C7,6.0,1890,176.20015836353505,149.7701346090048,29.95402692180096,37083.08532918959,101.59749405257422,110.23081907222752
1004130049,75 ORCHARD STREET,C7,6.0,1910,273.1088537741848,232.1425257080571,46.428505141611424,57478.48936531494,157.47531332962998,170.85689892113004
1004130045,81 ORCHARD STREET,C7,6.0,1910,271.30610818733305,230.61019195923308,46.122038391846615,57099.08352910611,156.43584528522223,169.72910128199555
1004130014,277 BROOME STREET,C7,6.0,1900,311.0810308023021,264.41887618195676,52.88377523639136,65470.1137426525,179.37017463740412,194.6122928699202
