name,base_bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,bbl,address,bldgclass,numfloors,yearbuilt,lon,lat
,1003500061,111.33984375,1910,18,1003500061,676780,2100,43.705477171014124,45.99,Constructed,1004271,2017-08-22 17:29:22+00:00,Photogrammetric,137280,63.89,54.3,10.86,13445.0,36.8,3.39,1003500057.0,309 EAST HOUSTON STREET,,,,-73.98329299659581,40.72108585513717
,1003840018,219.28125,1900,18,1003840018,794266,2100,63.612655159849254,53.55,Constructed,1004578,2017-08-22 18:49:41+00:00,Photogrammetric,520933,125.83,106.95,21.39,26481.0,72.6,3.39,1003850055.0,230 EAST 2 STREET,,,,-73.98257281158045,40.72147848235285
,1003720006,325.875,1900,13,1003720006,631248,2100,88.887454649820171,45.89,Constructed,1004353,2017-08-22 18:46:14+00:00,Photogrammetric,421597,186.99,158.94,31.79,39354.0,107.8,3.39,1003720068.0,264 EAST 2 STREET,,,,-73.98060869897739,40.721277015373644
,1003450030,1713.734375,1950,22,1003457502,354315,2100,180.62792318184955,97,Constructed,1088333,2017-08-22 19:11:03+00:00,Other (Manual),1110983,983.41,835.9,167.18,206968.0,567.0,3.39,1003450029.0,200 STANTON STREET,,,,-73.98302702486315,40.72002535934635
,1003850030,380.41796875,1920,16,1003850030,421940,2100,92.798769568239678,36.86,Constructed,1004597,2017-08-22 18:53:07+00:00,Photogrammetric,609771,218.29,185.54,37.11,45941.0,125.9,3.39,1003850035.0,29 AVENUE C,,,,-73.98121894662142,40.72170980729205
Hamilton Fish Recreation Center,1003400001,937.0625,1900,16,1003400001,1044788,2100,159.73340541283844,39.23,Constructed,1081934,2020-07-02 19:46:01+00:00,Photogrammetric,445450,537.72,457.06,91.41,113168.0,310.0,3.39,,,,,,-73.98145861966647,40.719988932521346
,1003440063,315.5625,1920,20,1003440063,378483,2100,92.9241928962811,55.56,Constructed,1004099,2017-08-22 19:36:03+00:00,Photogrammetric,720669,181.09,153.93,30.79,38112.0,104.4,3.39,1003440067.0,89 PITT STREET,,,,-73.98246423984779,40.71899871903293
,1003720008,80.125,1910,17,1003720008,570150,2100,35.831419420108816,30.18,Constructed,1079676,2017-08-22 17:42:59+00:00,Photogrammetric,263999,45.98,39.08,7.82,9677.0,26.5,3.39,1003850038.0,21 AVENUE C,,,,-73.9806646172609,40.72137113524128
,1003440056,448.20703125,1900,18,1003440056,951060,2100,115.2246719415009,52.54,Constructed,1004098,2017-08-22 18:07:22+00:00,Photogrammetric,677396,257.21,218.62,43.72,54132.0,148.3,3.39,,,,,,-73.98242921849318,40.71940766651262
,1003500042,1109.95703125,1930,23,1003507501,1036033,2100,188.56183603744248,64,Constructed,1004261,2017-08-22 18:30:32+00:00,Other (Manual),71162,636.93,541.39,108.28,134049.0,367.3,3.39,1003500028.0,23 CLINTON STREET,,,,-73.98403066663833,40.72062082202623
,1003850044,1471.04296875,2005,16,1003857501,405165,2100,160.99528281485132,77,Constructed,1079679,2017-08-22 19:34:14+00:00,Other (Manual),990157,844.11,717.49,143.5,177651.0,486.7,3.39,1003850038.0,21 AVENUE C,,,,-73.98136819074446,40.72140134339868
,1003840019,221.109375,2008,19,1003847505,63847,2100,66.818458485653863,59.29823065,Constructed,1087923,2017-08-22 17:40:31+00:00,Photogrammetric,1154005,126.88,107.85,21.57,26703.0,73.2,3.39,1003850055.0,230 EAST 2 STREET,,,,-73.9824999527153,40.721441495386934
,1003450003,840,2004,21,1003457501,159944,2100,115.99128174634636,75,Constructed,1087572,2017-08-22 19:34:55+00:00,Other (Manual),996121,482.02,409.72,81.94,101446.0,277.9,3.39,1003500075.0,184 STANTON STREET,,,,-73.98319581957185,40.72040538707205
,1003720064,1164.12109375,2025,19,1003720064,1089795,5100,142.02903546447374,136,Constructed,1000000,2025-05-16 15:26:43+00:00,Other (Manual),1303558,668.0,567.8,113.56,140587.0,385.2,3.39,1003720068.0,264 EAST 2 STREET,,,,-73.98036958884889,40.72097185981477
,1003850029,359.48828125,1910,16,1003850029,567193,2100,109.99758464862194,70.45,Constructed,1004596,2017-08-22 18:47:30+00:00,Photogrammetric,676242,206.28,175.33,35.07,43413.0,118.9,3.39,1003850035.0,29 AVENUE C,,,,-73.98134704871086,40.72174474231348
,1003720068,416.88671875,1905,9,1003720068,805687,2100,110.94511472429366,69.54,Constructed,1004378,2017-08-22 19:31:41+00:00,Photogrammetric,563233,239.22,203.34,40.67,50346.0,137.9,3.39,1003720068.0,264 EAST 2 STREET,C1,6.0,1905.0,-73.98056755394732,40.721027248458704
,1003840012,283.48046875,1900,19,1003840012,1066283,2100,78.082192549626043,56,Constructed,1087844,2017-08-22 18:11:04+00:00,Other (Manual),583709,162.67,138.27,27.65,34235.0,93.8,3.39,1003850002.0,21 AVENUE B,,,,-73.98297787120492,40.72162366088672
,1003840022,198.7421875,2003,18,1003847501,56789,2100,62.9882923529372,53,Constructed,1086550,2017-08-22 17:37:01+00:00,Other (Manual),913137,114.04,96.94,19.39,24001.0,65.8,3.39,1003840026.0,243 EAST 2 STREET,,,,-73.98225675635986,40.72134966193349
,1003850042,154.9375,1900,16,1003850042,828275,2100,53.472955271405844,45.31,Constructed,1004600,2017-08-22 18:30:30+00:00,Photogrammetric,585092,88.91,75.57,15.11,18711.0,51.3,3.39,1003850038.0,21 AVENUE C,,,,-73.98118062265016,40.72120006693152
,1003500050,326.19140625,1930,22,1003500050,421730,2100,79.9583902045419,58.51,Constructed,1004264,2017-08-22 18:16:47+00:00,Photogrammetric,128840,187.18,159.1,31.82,39394.0,107.9,3.39,1003500050.0,6 CLINTON STREET,C4,6.0,1930.0,-73.9838385309409,40.72105056807112
,1003500067,204.625,1910,23,1003500067,599550,2100,61.151899447527079,54.6,Constructed,1004277,2017-08-22 19:29:59+00:00,Photogrammetric,465707,117.41,99.8,19.96,24711.0,67.7,3.39,1003500057.0,309 EAST HOUSTON STREET,,,,-73.9834710337455,40.720710803943135
,1003440043,307.48046875,1900,21,1003440043,809797,2100,85.591200392443,58.2,Constructed,1004097,2017-08-22 18:49:11+00:00,Photogrammetric,11911,176.45,149.98,30.0,37135.0,101.7,3.39,1003440076.0,106 RIDGE STREET,,,,-73.98292917654966,40.718995307087255
,1003500063,178.0078125,1910,20,1003500063,331984,2100,63.064064899958069,15.08,Constructed,1004273,2017-08-22 19:37:10+00:00,Photogrammetric,177229,102.15,86.83,17.37,21498.0,58.9,3.39,1003500057.0,309 EAST HOUSTON STREET,,,,-73.9833543249849,40.72096854734318
,1003720008,38.09375,1910,17,1003720008,398259,2100,26.783611911758683,16.46,Constructed,1079675,2017-08-22 19:15:23+00:00,Photogrammetric,625146,21.86,18.58,3.72,4600.0,12.6,3.39,1003850035.0,29 AVENUE C,,,,-73.98063695445788,40.72140902567501
,1003450002,415.171875,1951,20,1003450002,614754,2100,101.49414513880345,18.56,Constructed,1004127,2017-08-22 18:27:56+00:00,Photogrammetric,538280,238.24,202.5,40.5,50139.0,137.4,3.39,1003500075.0,184 STANTON STREET,,,,-73.9832107444424,40.72026255178203
,1003450007,782.046875,1951,20,1003450007,710936,2100,118.96058734158356,71,Alteration,1004132,2018-09-17 19:59:00+00:00,Other (Manual),258606,448.76,381.45,76.29,94447.0,258.8,3.39,1003450014.0,325 EAST HOUSTON STREET,,,,-73.98303096424267,40.720612517756265
,1003500057,531.3828125,1920,17,1003500057,368564,2100,128.5835318963731,71.11,Constructed,1004269,2017-08-22 19:36:29+00:00,Photogrammetric,772635,304.91,259.17,51.83,64171.0,175.8,3.39,1003500057.0,309 EAST HOUSTON STREET,C6,6.0,1920.0,-73.98351139509514,40.721073845598966
,1003450035,278.9609375,1950,21,1003450035,179715,2100,76.306698845948091,24.17,Constructed,1004149,2017-08-22 18:58:14+00:00,Photogrammetric,93202,160.08,136.07,27.21,33690.0,92.3,3.39,1003500075.0,184 STANTON STREET,,,,-73.98335820308446,40.72007555545554
,1003840004,1127.5,2005,18,1003847503,696727,2100,250.04430229671249,98,Constructed,1087568,2017-08-22 18:44:45+00:00,Other (Manual),999544,646.97,549.93,109.99,136162.0,373.0,3.39,1003500057.0,309 EAST HOUSTON STREET,,,,-73.98326713464407,40.721545369543016
,1003840027,215.97265625,1900,17,1003840027,778843,2100,63.020837537142576,51.8,Constructed,1004584,2017-08-22 19:32:36+00:00,Photogrammetric,472204,123.93,105.34,21.07,26082.0,71.5,3.39,1003840026.0,243 EAST 2 STREET,,,,-73.98186429669788,40.721180020106814
,1003500066,206.19140625,1910,23,1003500066,990897,2100,61.304847146758888,54.62,Constructed,1004276,2017-08-22 18:06:46+00:00,Photogrammetric,656624,118.32,100.57,20.11,24902.0,68.2,3.39,1003500057.0,309 EAST HOUSTON STREET,,,,-73.98343843142945,40.720773742236965
,1003450010,165.1171875,1920,21,1003450010,908666,2100,54.486245940038572,58.23,Constructed,1004134,2017-08-22 17:40:01+00:00,Photogrammetric,354329,94.75,80.54,16.11,19941.0,54.6,3.39,1003450014.0,325 EAST HOUSTON STREET,,,,-73.98303630789738,40.72082304944796
