name,bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,address,bldgclass,roof_area_m2_actual,numfloors,yearbuilt,lon,lat
,1004140028.0,245.9921875,1910,37,1002810059,30157,2100,74.813045190789111,69.87,Constructed,1003523,2017-08-22 19:34:28+00:00,Photogrammetric,679247,42.12678938122924,52152.9652539618,81.4052982007236,155.02658492292358,210.63394690614615,284 BROOME STREET,C7,,6.0,1900.0,-73.9967983476493,40.71392260170769
,1004090033.0,263.55078125,1900,31,1002800008,743285,2100,89.344936641439915,62.86,Constructed,1003405,2017-08-22 17:32:25+00:00,Photogrammetric,581893,29.589306572427237,36631.561536664914,87.21802425715603,108.88864818653222,147.94653286213617,254 BROOME STREET,C7,,6.0,1900.0,-73.9960608800656,40.71309140881768
,1003100029.0,277.640625,1900,31,1002800013,994067,2100,94.1715297470242,65.21,Constructed,1077209,2017-08-22 17:26:53+00:00,Photogrammetric,257910,30.12464586145581,37294.31157648229,91.8837797101094,110.85869677015738,150.62322930727905,33 ESSEX STREET,C7,,6.0,1900.0,-73.99567202639857,40.71312717084942
,1003100026.0,204.640625,1910,38,1002810025,931158,2100,70.7215781367817,71.68,Constructed,1003500,2017-08-22 17:39:41+00:00,Photogrammetric,797193,27.59711111054377,34165.22355485319,67.72087030401335,101.5573688868011,137.98555555271886,39 ESSEX STREET,C7,,6.0,1900.0,-73.99550109173293,40.71380251047462
,1004090034.0,223.91796875,1910,38,1002810026,826539,2100,71.367644731323111,71.4,Constructed,1003501,2017-08-22 18:12:41+00:00,Photogrammetric,525532,37.85485497441841,46864.31045832999,74.10713605178523,139.30586630585975,189.27427487209204,256 BROOME STREET,C7,,6.0,1920.0,-73.995413114274,40.71381875210691
,1004090043.0,229.921875,1900,36,1002820054,956313,2100,64.984474772819325,69.3,Constructed,1003546,2017-08-22 17:27:22+00:00,Photogrammetric,20373,46.61672262596056,57711.50261093918,76.08900700412244,171.54953926353485,233.0836131298028,101 DELANCEY STREET,C7,,6.0,1920.0,-73.9935802528119,40.71396225776463
,1003100007.0,265.0859375,1900,39,1002930028,766204,2100,84.114628097081464,74.49,Constructed,1003793,2017-08-22 18:13:57+00:00,Photogrammetric,422323,43.90643229051634,54356.16317565923,87.7234213911485,161.57567082910015,219.5321614525817,48 LUDLOW STREET,C7,,6.0,1900.0,-73.99372808019778,40.71447493402432
,1004140032.0,306.03515625,1900,41,1002920029,111547,2100,78.817185816096668,58.72,Constructed,1003774,2017-08-22 18:59:50+00:00,Photogrammetric,489438,30.898603866110275,38252.47158624452,101.27899599914339,113.7068622272858,154.49301933055136,128 ELDRIDGE STREET,C6,,6.0,1900.0,-73.99403483603058,40.71458948980483
,1004100037.0,222.6171875,1900,42,1002920028,638796,2100,63.997501685316138,57.5,Constructed,1003773,2017-08-22 18:10:47+00:00,Photogrammetric,149546,27.36439364989136,33877.119338565506,73.66960589391836,100.7009686316002,136.8219682494568,110 LUDLOW STREET,C7,,6.0,1900.0,-73.99396950595715,40.71464515766899
,1004090026.0,216.33984375,1910,42,1002920027,993962,2100,63.420917133398888,58.76,Constructed,1003772,2017-08-22 17:26:53+00:00,Photogrammetric,196771,32.296144988483086,39982.62749574206,71.59202188656002,118.84981355761776,161.48072494241543,246 BROOME STREET,C7,,6.0,1900.0,-73.99393696505939,40.714709199500305
