bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,lon,lat
,,,,,154.89,131.65,26.33,32598.0,89.3,3.39,-73.98285206517077,40.71992266565294
,,,,,131.51,111.78,22.36,27678.0,75.8,3.39,-73.98270247166454,40.72032787512104
,,,,,338.38,287.62,57.52,71215.0,195.1,3.39,-73.9838836769979,40.719898907341424
,,,,,142.72,121.32,24.26,30038.0,82.3,3.39,-73.98335686141984,40.72021369143124
,,,,,208.25,177.01,35.4,43829.0,120.1,3.39,-73.98155791078699,40.72146057639205
,,,,,170.98,145.33,29.07,35985.0,98.6,3.39,-73.98259961806683,40.718743185500884
,,,,,321.07,272.91,54.58,67573.0,185.1,3.39,-73.98077166812338,40.72106140048937
,,,,,189.09,160.73,32.15,39797.0,109.0,3.39,-73.98256656751346,40.718809225241976
,,,,,249.11,211.74,42.35,52428.0,143.6,3.39,-73.98382138168044,40.72120387568949
,,,,,107.39,91.28,18.26,22601.0,61.9,3.39,-73.98310065655045,40.721693092275174
,,,,,136.54,116.05,23.21,28735.0,78.7,3.39,-73.98328291898902,40.72183395204081
,,,,,3469.65,2949.2,589.84,730223.0,2000.6,3.39,-73.98355355088142,40.71910854987976
,,,,,105.71,89.85,17.97,22247.0,60.9,3.39,-73.9840130689701,40.72079899325936
,,,,,162.13,137.81,27.56,34121.0,93.5,3.39,-73.98390823205023,40.72083329739222
,,,,,99.51,84.59,16.92,20944.0,57.4,3.39,-73.98323896264571,40.72104048230819
,,,,,1023.41,869.9,173.98,215387.0,590.1,3.39,-73.98176545889861,40.718831443835406
,,,,,73.27,62.28,12.46,15419.0,42.2,3.39,-73.9811323970447,40.72160394867364
,,,,,94.73,80.52,16.1,19937.0,54.6,3.39,-73.98227218756321,40.72202984533913
,,,,,175.79,149.42,29.88,36997.0,101.4,3.39,-73.98156946736614,40.72187313600822
,,,,,119.32,101.43,20.29,25113.0,68.8,3.39,-73.9804286749016,40.72143301410894
,,,,,298.0,253.3,50.66,62718.0,171.8,3.39,-73.98297316702592,40.71863383961434
,,,,,241.34,205.14,41.03,50793.0,139.2,3.39,-73.98151582680912,40.72180995349849
,,,,,469.84,399.37,79.87,98884.0,270.9,3.39,-73.98222587953263,40.71934711669556
,,,,,338.14,287.42,57.48,71165.0,195.0,3.39,-73.98238068596328,40.721790328076615
,,,,,123.62,105.08,21.02,26018.0,71.3,3.39,-73.9820222980171,40.72124680653971
,,,,,235.42,200.11,40.02,49548.0,135.7,3.39,-73.98307986796559,40.72051766469887
,,,,,150.93,128.29,25.66,31765.0,87.0,3.39,-73.98327863569354,40.72003926561461
,,,,,188.27,160.03,32.01,39624.0,108.6,3.39,-73.98253511728026,40.71886882648907
,,,,,184.35,156.69,31.34,38798.0,106.3,3.39,-73.98393202671251,40.72028847940629
,,,,,116.79,99.27,19.85,24579.0,67.3,3.39,-73.98288367211735,40.71920190378845
,,,,,39.74,33.78,6.76,8363.0,22.9,3.39,-73.98263154132385,40.71919292512211
,,,,,913.26,776.27,155.25,192205.0,526.6,3.39,-73.9817395220628,40.72049180324112
,,,,,92.44,78.58,15.72,19456.0,53.3,3.39,-73.98056789896185,40.721503612667796
,,,,,27.52,23.39,4.68,5792.0,15.9,3.39,-73.98061681931681,40.72143660519719
,,,,,100.97,85.82,17.16,21250.0,58.2,3.39,-73.98337367597807,40.721080876057286
,,,,,104.27,88.63,17.73,21946.0,60.1,3.39,-73.98290444126077,40.720956114239456
,,,,,136.95,116.41,23.28,28822.0,79.0,3.39,-73.98218831907485,40.72130725863337
